Type རྒྱུ་ཆའི་རིགས།,Title མཚན་བྱང་།,Author name མཛད་པ་པོ།,Resource id ,Website link བརྩམས་ཆོས་དྲ་ཐག,yes/no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་ཤེས་རབ་ཀྱི་ལེའུའི་ཚིག་དོན་གོ་སླ་བར་རྣམ་པར་བཤད་པ་ནོར་བུ་ཀེ་ཏ་ཀ,འཇུ་མི་ཕམ་འཇམ་དབྱངས་རྣམ་རྒྱལ་རྒྱ་མཚོ།,R8C148471,http://purl.bdrc.io/resource/WA0XLDB48194DA341,yes,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་གི་འབྲུ་འགྲེལ་དབུ་མའི་ལམ་གྱི་སྒྲོན་མ།,འབྲུག་ཆེན ༠༤་པདྨ་དཀར་པོ།,R8D4B3A0C,http://purl.bdrc.io/resource/WA1KG12679,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བའི་མཆན་འགྲེལ།,རྒྱ་ཀོང་མཁན་ཆེན་གཞན་ཕན་ཆོས་ཀྱི་སྣང་བ།,R8D5953D0,http://purl.bdrc.io/resource/WA1KG3711,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ས་བཅད་དོན་གསལ་མེ་ལོང་དང་སྤྱོད་འཇུག་མཆན་འགྲེལ་མཁན་པོ་གཞན་དགས་མཛད་པ།,རྫ་དཔལ་སྤྲུལ་ཨོ་རྒྱན་འཇིགས་མེད་ཆོས་ཀྱི་དབང་པོ།,R8EBE76B5,http://purl.bdrc.io/resource/WA1KG3818,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ལེགས་པར་སྦྱར་བ།,དགེ་བའི་ལྷ།,R9A454784,http://purl.bdrc.io/resource/WA0RT3219,yes,D3874-final
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་དཀའ་འགྲེལ།,ཤེས་རབ་འབྱུང་གནས་བློ་གྲོས།,R9ACAFA99,http://purl.bdrc.io/resource/WA21708,yes,D3875-final
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་དཀའ་འགྲེལ་དང་ལུང་སྦྱོར་མདོར་བསྡུས་འཇམ་དབྱངས་བླ་མའི་དགོངས་གསལ།,ལི་ཐང་སྡེ་གཞུང་སྤྲུལ་སྐུ,R9AD0C608,http://purl.bdrc.io/resource/WA0XL4A02710267C2,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་ཀྱི་སྤྱོད་པ་ལ་འཇུག་པའི་དགོངས་པའི་འགྲེལ་པ་ཁྱད་པར་གསལ་བྱེད།,པཎྜི་ཏ་བི་བྷུ་ཏི་ཙནྡྲ།,R9B72A4A4,http://purl.bdrc.io/resource/WA0RT3225,yes,D3880-final
བསྡུས་དོན།,སྤྱོད་འཇུག་བསྡུས་དོན།,རྗེ་བཙུན་གྲགས་པ་རྒྱལ་མཚན།,R9FAFA0A0,http://purl.bdrc.io/resource/WA0XL1F093687C3AB,yes,
བསྡུས་དོན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་བསྡུས་དོན།,ས་བཟང་མ་ཏི་པཎ་ཆེན་བློ་གྲོས་རྒྱལ་མཚན།,R10E93CBA,http://purl.bdrc.io/resource/WA0XL58E85ACD4623,yes,
བསྡུས་དོན།,སྤྱོད་འཇུག་གི་བསྡུས་དོན་ཉི་མའི་འོད་ཟེར།,བླ་མ་དམ་པ་བསོད་ནམས་རྒྱལ་མཚན།,R9FD308BD,http://purl.bdrc.io/resource/WA0XL9D94CF5BA8BA,yes,
བསྡུས་དོན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་བསྡུས་དོན་འཇམ་དབྱངས་བླ་མའི་ཞལ་ལུང་།,ལི་ཐང་སྡེ་གཞུང་སྤྲུལ་སྐུ།,R13E4ED71,http://purl.bdrc.io/resource/WA0XL47D2D894CF09,yes,
བསྡུས་དོན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་བསྡུས་དོན།,"པཎཌིཏ་མ་ཏི།",R31CBC7BA,http://purl.bdrc.io/resource/WA0NGMCP47229,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ཤེས་རབ་ལེའུ་དང་བསྔོ་བའི་དཀའ་འགྲེལ།,ཤྲཱི་བི་བྷཱུ་ཏི་ཙནྡྲ།,R34F40747,http://purl.bdrc.io/resource/WA0RT3222,yes,yes 
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་ཤེས་རབ་ལེའུའི་མཆན་འགྲེལ་དོན་གསལ་མེ་ལོང་།,ཞེ་ཆེན་རྒྱལ་ཚབ ༠༤་འགྱུར་མེད་པདྨ་རྣམ་རྒྱལ།,R41DCA1C2,http://purl.bdrc.io/resource/WA0XLE3B6CBCF3107,yes,
རྒྱུ་ཆ་གཞན།,སྤྱོད་འཇུག་ཟིན་བྲིས་དང་ཚིག་འགྲེལ་འཇམ་དབྱངས་བླ་མའི་ཞལ་ལུང་བདུད་རྩིའི་ཐིག་པ།,མཁན་པོ་ཀུན་དཔལ།,R46DA1A6D,http://purl.bdrc.io/resource/WA1KG22345,yes,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་གི་དཀའ་གནས་གསལ་བྱེད།,རྡོ་གྲུབ་ཆེན ༠༣་འཇིགས་མེད་བསྟན་པའི་ཉི་མ།,R55EAFDDD,http://purl.bdrc.io/resource/WA0XLE045244F98EE,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་འགྲེལ་པ།,ཀུན་དགའ་དབང་ཕྱུག,R61DA15BC,http://purl.bdrc.io/resource/WA0XL9CCE5DC370F3,yes,
འགྲེལ་བ། {ཡི་གེ},རྒྱལ་སྲས་སྤྱོད་པའི་གཞུང་ལས་ཤེས་རབ་བྱེ་བྲག་ཏུ་བཤད་པ།,སྡེ་དགེ་མཁན་པོ་བསམ་གཏན་བློ་གྲོས།,R0084C894,http://purl.bdrc.io/resource/WA0XL02DB4796470F,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་འཇུག་པའི་གསལ་བྱེད་ལེགས་པར་བཤད་པའི་སྣང་བ།,གྲགས་པ་གཞོན་ནུ། ,R87FC893F,http://purl.bdrc.io/resource/WA0XL42F52DDABE6B,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་རྟོགས་པར་དཀའ་བའི་གནས་གཏན་ལ་དབབ་པ་ཞེས་བྱ་བའི་གཞུང་།,པཎྜི་ཏ་ཀརསཎ་པ།,R89E35D93,http://purl.bdrc.io/resource/WA0RT3220,yes,
ས་བཅད།,སྤྱོད་འཇུག་སྨོན་ལམ་གྱི་ས་བཅད།,ངག་དབང་ཉི་མ།,R97D05A2D,http://purl.bdrc.io/resource/WA0XL809901A89AA0,yes,
