index	trigger	syllables	flag	preview
1526	verse-stanza	25		གཞན་གྱིས་ཡོན་ཏན་ལྡན་བསྟོད་ནས།།↵གལ་ཏེ་དགའ་བའི་བདེ་འཐོབ་ན།།↵ཡིད་ཁྱོད་ཀྱང་ནི་དེ་བསྟ
1527	terminal-particle	52		ཅེས་གསུངས་ཏེ། དེ་ཡང་བདག་གིས་མི་མཛའ་བ་དགྲར་བཟུང་བ་ཡོན་ཏན་དང་ལྡན་པ་ཞིག་ལ་སྐྱེ་བོ་ཡ
1528	line-end	81		དེ་ལ་སེམས་ཁྱོད་ཁྲོ་བར་མི་རིགས་ཏེ་ཁྲོ་བས་ནི་ཁྲོ་བ་པོ་སྡུག་བསྔལ་བ་ཁོ་ནར་ཟད་པས་ན་ཁྲ
1529	verse-stanza	25		ཁྱོད་ཀྱི་དགའ་བའི་བདེ་བ་འདི།།↵བདེ་འབྱུང་ཁ་ན་མ་ཐོ་མེད།།↵ཡོན་ཏན་ལྡན་པ་རྣམས་ཀྱིས་གནང
1530	terminal-particle	88		ཞེས་གསུངས་ཏེ། དེ་ལྟར་བྱས་པས་ཁྱོད་ཀྱི་རྒྱུད་ལ་ཐོབ་པའི་དགའ་བདེ་འདི་ནི་བདེ་བ་མང་དུ་
1531	ordinal-open	22		གཉིས་པ་གཞན་གྱི་ཡོན་ཏན་ལ་བསྟོད་པ་མི་བཟོད་ན་བདག་ཉིད་ལ་སྡུག་བསྔལ་འབྱུང་བར་བསྟན་པ་ནི
1532	verse-stanza	25		གཞན་ཡང་དེ་ལྟར་བདེ་འགྱུར་ཞེས།།↵གལ་ཏེ་ཁྱོད་བདེ་འདི་མི་འདོད།།↵གླ་རྔན་བྱིན་སོགས་སྤངས
1533	terminal-particle	30		ཞེས་གསུངས་ཏེ། དེ་ལྟར་གཞན་དང་ཡང་གི་སྒྲས་རང་ཡང་སྟེ་གཉི་ག་དེ་ལྟ་བུར་རྩོད་པ་མེད་ཅིང་
1534	line-end	141		ཞེས་བསྟན་ཡང་ད་དུང་སེམས་ཁྱོད་དགྲའི་ཡིད་བདེ་ཞིང་རང་ཡང་ཁྲོ་བ་ཞི་བས་བདེ་བ་འདི་མི་འདོ
1535	verse-stanza	24		ཞེས་འཇིགས་པའི་གནས་བསྟན་ཏོ།།↵རང་གི་ཡོན་ཏན་བརྗོད་པའི་ཚེ།།↵གཞན་ལའང་བདེ་བ་འདོད་པར་བྱ
1536	line-end	119		རང་ལའང་བདེ་བ་འདོད་མི་བྱེད།། ཅེས་གསུངས་ཏེ། དེ་ལྟ་མོད་ཀྱི་གཞན་ཞིག་གིས་རང་ཉིད་ཀྱི་ཡ
1537	ordinal-open	15		གཉིས་པ་དགྲ་ལ་བདེ་བ་སྒྲུབ་པ་ལ་མི་བཟོད་པ་སྤང་བ་ནི།
1538	verse-stanza	25		སེམས་ཅན་ཐམས་ཅད་བདེར་འདོད་པས།།↵བྱང་ཆུབ་ཏུ་ནི་སེམས་བསྐྱེད་ནས།།↵སེམས་ཅན་རང་གིས་བདེ་
1539	terminal-particle	74		ཅེས་གསུངས་ཏེ། དགྲ་བོ་བདེ་བ་ན་སེམས་ཁྱོད་ཞེ་སྡང་བར་མི་རིགས་ཏེ། ཁྱོད་ཀྱིས་སྔར་སེམས་
1540	ordinal-open	46		གསུམ་པ་དགྲ་ལ་རྙེད་པ་སྒྲུབ་པ་ལ་མི་བཟོད་པ་སྤང་བ་ལ་གཉིས། ཚིགས་བཅད་སྔ་མའི་དོན་རྒྱུ་མ
1541	ordinal-open	40		དང་པོ་ལ་གསུམ། སངས་རྒྱས་སྦྱིན་པར་འདོད་ན་རྙེད་བཀུར་ལ་སེར་སྣ་བྱེད་པ་མི་རིགས་པར་བསྟན
1542	ordinal-open	3		དང་པོ་ནི།
1543	verse-stanza	25		འཇིག་རྟེན་གསུམ་མཆོད་འཚང་རྒྱ་བར།།↵སེམས་ཅན་རྣམས་ནི་འདོད་ཅེ་ན།།↵རྙེད་བཀུར་ངན་ངོན་ཙམ
1544	terminal-particle	270		ཅེས་གསུངས་ཏེ། དེ་ཡང་བདག་གིས་སེམས་ཅན་རྣམས་སངས་རྒྱས་ལ་དགོད་པར་ཁས་བླངས་ཀྱི་བདེ་བ་གཞ
1545	ordinal-open	23		གཉིས་པ་བདག་གིས་གསོ་བར་བྱ་དགོས་ན་རང་གིས་འཚོ་བ་རྙེད་པ་ལ་ཁྲོ་མི་རིགས་པར་བསྟན་པ་ནི།
1546	verse-stanza	24		གསོ་བྱ་གང་ཞིག་ཁྱོད་གསོ་བ།།↵ཁྱོད་ཉིད་ཀྱིས་ནི་སྦྱིན་བྱ་དེ།།↵གཉེན་གྱིས་འཚོ་བ་རྙེད་ག
1547	line-end	61		ཞེས་གསུངས་ཏེ། དེས་ན་བྱང་ཆུབ་སེམས་དཔས་སེམས་ཅན་ཐམས་ཅད་བདེ་བ་ཐམས་ཅད་ལ་དགོད་པར་བྱ་བར
1548	ordinal-open	6		གསུམ་པ་དོན་བསྡུས་པ་ནི།
1549	verse-stanza	25		དེ་ཅི་འགྲོ་ལ་མི་འདོད་ན།།↵དེ་ལ་བྱང་ཆུབ་འདོད་གང་ཡིན།།↵གང་ཞིག་གཞན་འབྱོར་ཁྲོ་དེ་ལ།།↵
1550	terminal-particle	110		ཅེས་གསུངས་ཏེ། དེས་ན་བུས་རྙེད་པ་ཁྱད་པར་ཅན་ཐོབ་ན་ཕ་མ་ཆེས་དགའ་བ་ལྟར་སེམས་ཅན་རྣམས་རྙ
1551	ordinal-open	46		གཉིས་པ་གཞན་ལ་མ་བྱིན་ཀྱང་སྦྱིན་བདག་གི་ཁྱིམ་ན་གནས་པའི་ཡོ་བྱད་ཀྱིས་བདག་ལ་མི་ཕན་པར་བ
1552	ordinal-open	3		དང་པོ་ནི།
1553	verse-stanza	25		གལ་ཏེ་དེས་དེ་ལས་རྙེད་དམ།།↵སྦྱིན་བདག་ཁྱིམ་དུ་གནས་གྱུར་ཀྱང༌།།↵ཀུན་ཏུའང་དེ་ཁྱོད་ལ་མ
1554	line-end	60		ཞེས་གསུངས་ཏེ། གལ་ཏེ་དེས་བདག་གི་སྦྱིན་བདག་ལས་རྙེད་པ་བླངས་པས་བདག་གི་རྙེད་པ་ཆུང་ངུར
1555	ordinal-open	12		གཉིས་པ་ཁྲོ་ན་རང་ཉིད་ལ་ཁྲོ་བར་རིགས་པ་ནི།
1556	verse-stanza	24		བསོད་ནམས་དང་ནི་དད་པའམ།།↵རང་གི་ཡོན་ཏན་ཅིའི་ཕྱིར་འདོར།།↵རྙེད་པར་འགྱུར་བ་མི་འཛིན་ལ།
1557	terminal-particle	84		ཞེས་གསུངས་ཏེ། དེ་ལྟ་མོད་ཀྱི་ཆོས་བཞིན་གྱི་རྙེད་པ་རྣམས་ནི་རང་གི་ཕྲག་དོག་མེད་པའི་བླ
1558	ordinal-open	14		གསུམ་པ་བསོད་ནམས་ལྡན་པ་ལ་འགྲན་མི་རིགས་པར་བསྟན་པ་ནི།
1559	verse-stanza	25		ཁྱོད་ནི་རང་གིས་སྡིག་བྱས་ལ།།↵མྱ་ངན་མེད་པར་མ་ཟད་ཀྱི།།↵བསོད་ནམས་བྱས་པ་གཞན་དག་དང༌།།↵
1560	terminal-particle	67		ཞེས་གསུངས་ཏེ། དེས་ན་རང་གིས་ཁྲོ་བའི་སྡིག་པ་བསྐྱེད་པ་ལ་མྱ་ངན་མེད་ཀྱི་སྟེང་དུ་བསོད་
1561	terminal-particle	138		བམ་པོ་གཉིས་པ་ཞེས་བྱ་བ་ནི། ད་ལྟ་སྤྱོད་འཇུག་གི་བོད་དཔེ་མཐོང་བ་རྣམས་ན་གཞུང་གི་ཐོག་མ
1562	ordinal-open	44		དྲུག་པ་འདོད་པའི་གེགས་བྱེད་པ་ལ་བཟོད་པ་སྒོམ་པ་ལ་གཉིས། དགྲ་ལ་གནོད་པའི་གེགས་བྱེད་པ་ལ
1563	ordinal-open	3		དང་པོ་ནི།
1564	verse-stanza	25		གལ་ཏེ་དགྲ་ཞིག་མི་དགའ་ནའང༌།།↵དེ་ལ་ཁྱོད་དགར་ཅི་ཞིག་ཡོད།།↵ཁྱོད་ཀྱི་ཡིད་སྨོན་ཙམ་གྱིས
1565	verse-stanza	25		ཁྱོད་ཀྱི་འདོད་པ་སྡུག་བསྔལ་དེ།།↵གྲུབ་ནའང་ཁྱོད་དགར་ཅི་ཞིག་ཡོད།།↵གལ་ཏེ་འཚེངས་པར་འགྱ
1566	verse-stanza	25		ཉོན་མོངས་ཉ་པས་བཏབ་པ་ཡི།།↵མཆིལ་པ་འདི་ནི་མི་བཟད་གཟེ།།↵དེས་བཟུང་སེམས་དམྱལ་བུམ་པར་ཡང
1567	terminal-particle	101		ཞེས་གསུངས་ཏེ། དགྲ་བོ་ལ་གནོད་པ་བྱུང་ན་དེ་མི་དགའ་ཞིང་སྡུག་བསྔལ་བར་འགྱུར་བ་དེ་ལ་ཡང་
1568	terminal-particle	170		གལ་ཏེ་དགྲ་ལ་སྡུག་བསྔལ་དེ་གྲུབ་ན་ཡང་ཁྱོད་དགའ་བར་བྱར་ཅི་ཡོད་དེ་བཤད་མ་ཐག་པའི་བདག་ལ་
1569	ordinal-open	42		གཉིས་པ་བདག་དང་བདག་གི་ཕྱོགས་ལ་ལེགས་པ་འགྲུབ་པའི་བར་ཆད་བྱེད་པ་ལ་བཟོད་པར་བསྟན་པ་ལ་གཉ
